 demo                      SWAT+ 2026-07-13        MODULAR Rev 2026.cb442f7c05fc3bfc34349c446010f452d2737c
  jday   mon   day    yr    unit  gis_id  name                  precip     snofall      snomlt    surq_gen        latq    wateryld        perc          et     ecanopy      eplant       esoil   surq_cont          cn     sw_init    sw_final      sw_ave      sw_300    sno_init   sno_final     snopack         pet       qtile         irr  surq_runon  latq_runon    overbank    surq_cha    surq_res     surq_ls    latq_cha    latq_res     latq_ls     gwsoilq       satex  satex_chan   sw_change     lagsurf     laglatq    lagsatex    wet_evap    wet_oflo    wet_stor   plant_cov       mgt_ops                    
                                                                  mm            mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm         ---          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm
     2     1     2  1975       2       1  hru0002                0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.764       0.000       0.000       0.764       0.000      60.978     179.954     179.190     179.572      26.190       0.000       0.000       0.000       1.248       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      -0.764       0.000       0.000       0.000       0.000       0.000       0.000   corn_comm       mgt_08                        
     2     1     2  1975       3       1  hru0003                0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.468       0.000       0.000       0.468       0.000      71.014     180.267     179.800     180.033      26.800       0.000       0.000       0.000       1.248       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      -0.467       0.000       0.000       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                        
     2     1     2  1975       4       1  hru0004                0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.468       0.000       0.000       0.468       0.000      70.646     180.267     179.800     180.033      26.800       0.000       0.000       0.000       1.248       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      -0.468       0.000       0.000       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                        
     2     1     2  1975       5       1  hru0005                0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.468       0.000       0.000       0.468       0.000      70.753     180.267     179.800     180.033      26.800       0.000       0.000       0.000       1.248       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      -0.468       0.000       0.000       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                        
     2     1     2  1975       6       1  hru0006                0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.468       0.000       0.000       0.468       0.000      70.303     180.267     179.800     180.033      26.800       0.000       0.000       0.000       1.248       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      -0.468       0.000       0.000       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                        
     2     1     2  1975       7       1  hru0007                0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.468       0.000       0.000       0.468       0.000      71.517     180.267     179.800     180.033      26.800       0.000       0.000       0.000       1.248       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      -0.467       0.000       0.000       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                        
     2     1     2  1975       8       1  hru0008                0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.468       0.000       0.000       0.468       0.000      64.776     180.267     179.800     180.033      26.800       0.000       0.000       0.000       1.248       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      -0.468       0.000       0.000       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                        
     2     1     2  1975       9       1  hru0009                0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.468       0.000       0.000       0.468       0.000      69.936     180.267     179.800     180.033      26.800       0.000       0.000       0.000       1.248       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      -0.468       0.000       0.000       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                        
     2     1     2  1975      10       1  hru0010                0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.468       0.000       0.000       0.468       0.000      67.691     180.267     179.800     180.033      26.800       0.000       0.000       0.000       1.248       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      -0.468       0.000       0.000       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                        
     2     1     2  1975      11       1  hru0011                0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.468       0.000       0.000       0.468       0.000      61.596     180.267     179.800     180.033      26.800       0.000       0.000       0.000       1.248       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      -0.468       0.000       0.000       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                        
     2     1     2  1975      12       1  hru0012                0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.468       0.000       0.000       0.468       0.000      66.487     180.267     179.800     180.033      26.800       0.000       0.000       0.000       1.248       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      -0.467       0.000       0.000       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                        
